"song_name","genre","duration[s]","sample_rate","processing_time_demucs[s]","bpm_song","bpm_drums","bpm_hpss","key_song","key_demucs","key_hpss","key_song_cqt","key_demucs_cqt","key_hpss_cqt","manual_bpm","manual_key","agreement_bpm","agreement_key"
"Eric Clapton - Tears In Heaven.wav","acoustic","274.95","44100","161.59","152","152","152","A Major","A Major","A Major","A Major","A Major","A Major","77","A Major","0","3"
"Extreme - More Than Words.wav","acoustic","255.56","44100","146.82","92.29","46.14","92.29","F# Major","F# Major","F# Major","F# Major","F# Major","F# Major","92","F# Major","21.75","3"
"Oasis - Wonderwall.wav","acoustic","279.5","44100","159.65","117.45","117.45","117.45","E Major","E Major","E Major","F# Minor","F# Minor","A Major","87","F# Minor","0","3"
"The Beatles - Blackbird.wav","acoustic","138.41","44100","78.89","93.96","93.96","93.96","G Minor","G Minor","G Minor","G Major","G Major","G Major","94","G Major","0","3"
"Tracy Chapman - Fast Car.wav","acoustic","266.26","44100","151.47","103.36","103.36","103.36","A Minor","A Major","A Minor","A Major","A Major","A Major","102","A Major","0","2"
"Albert King - Born Under A Bad Sign.wav","blues","168.16","44100","95.07","92.29","92.29","92.29","C# Major","C# Major","C# Major","C# Minor","C# Major","B Major","103","C# Minor","0","3"
"B.B. King - The Thrill Is Gone.wav","blues","329.07","44100","188.81","90.67","90.67","90.67","B Major","B Minor","B Minor","B Minor","B Minor","B Minor","91","B Minor","0","2"
"Robert Johnson - Cross Road Blues.wav","blues","157.97","44100","92.93","101.33","123.05","101.33","A# Minor","B Minor","B Minor","B Major","B Major","B Major","101","B Major","10.24","2"
"Stevie Ray Vaughan Double Trouble - Pride and Joy.wav","blues","223.19","44100","129.37","126.05","126.05","126.05","D# Major","D# Major","D# Major","D# Major","D# Major","D# Major","126","D# Major","0","3"
"The Blues Brothers - Sweet Home Chicago.wav","blues","467.67","44100","266.36","126.05","126.05","126.05","E Major","E Major","E Major","E Major","E Major","E Major","126","E Major","0","3"
"Darius Rucker - Wagon Wheel.wav","country","346.42","44100","195.11","147.66","147.66","147.66","A Major","A Major","A Major","A Major","A Major","A Major","148","A Major","0","3"
"Dolly Parton - Jolene.wav","country","163.14","44100","108.78","109.96","109.96","109.96","C# Major","G# Minor","C# Major","C# Major","G# Minor","C# Major","112","C# Minor","0","2"
"John Denver - Take Me Home Country Roads.wav","country","195.56","44100","124.17","161.5","82.03","161.5","E Major","E Major","E Major","A Major","A Major","A Major","83","A Major","37.46","3"
"Johnny Cash - Ring of Fire.wav","country","155.74","44100","123.09","105.47","105.47","105.47","D Major","G Major","D Major","G Major","G Major","G Major","103","G Major","0","2"
"Kenny Rogers - The Gambler.wav","country","210.74","44100","165.09","172.27","87.59","172.27","B Major","E Major","B Major","D# Minor","D# Minor","D# Minor","88","E Major","39.92","2"
"ABBA - Dancing Queen.wav","disco","232.9","44100","182.29","101.33","101.33","101.33","A Major","A Major","A Major","A Major","A Major","A Major","100","A Major","0","3"
"Bee Gees - Stayin Alive.wav","disco","249.57","44100","192.76","103.36","103.36","103.36","F Major","F Major","F Major","F Minor","F Minor","F Minor","104","F Minor","0","3"
"CHIC - Le Freak.wav","disco","219.01","44100","171.75","120.19","120.19","120.19","A Minor","A Minor","A Minor","A Minor","A Minor","A Minor","120","A Minor","0","3"
"Earth Wind Fire - September.wav","disco","215.18","44100","161.63","126.05","126.05","126.05","A Major","A Major","A Major","F# Minor","A Major","A Major","125","A Major","0","3"
"Gloria Gaynor - I Will Survive.wav","disco","194.42","44100","154.19","114.84","114.84","114.84","E Major","A Minor","E Major","E Minor","A Minor","E Minor","116","A Minor","0","2"
"Daft Punk - One More Time.wav","electronic","321.46","44100","246.29","123.05","123.05","123.05","D Major","D Major","D Major","D Major","D Major","D Major","122","D Major","0","3"
"David Guetta - Titanium ft. Sia.wav","electronic","245.3","44100","183.7","126.05","126.05","126.05","G Minor","C Minor","G Minor","G Minor","C Minor","G Minor","126","C Minor","0","2"
"Martin Garrix - Animals.wav","electronic","191.61","44100","141.33","129.2","129.2","129.2","F Minor","F Minor","F Minor","F Minor","F Minor","F Minor","128","F Minor","0","3"
"deadmau5 - Strobe.wav","electronic","636.92","44100","498.55","129.2","129.2","129.2","B Major","B Major","B Major","G# Minor","G# Minor","G# Minor","128","G# Minor","0","3"
"deadmau5 feat. Rob Swire - Ghosts N Stuff.wav","electronic","194.42","44100","140.35","129.2","129.2","129.2","A# Minor","A# Minor","A# Minor","A# Minor","A# Minor","A# Minor","128","A# Minor","0","3"
