song_name,genre,duration [s],sample_rate,processing_time_demucs,bpm_song,bpm_drums,bpm_hpss,key_song,confidence_song,key_demucs,confidence_demucs,key_hpss,confidence_hpss,manual_bpm,manual_key,agreement_bpm,agreement_key
Eric Clapton - Tears In Heaven.wav,acoustic,274.95,44100,154.23,152,152,152,A Major,0.6694,A Major,0.7211,A Major,0.6648,77,A Major,0,3
Extreme - More Than Words.wav,acoustic,255.56,44100,137.62,92.29,46.14,92.29,F# Major,0.6938,F# Major,0.37,F# Major,0.6802,92,F# Major,21.75,3
Oasis - Wonderwall.wav,acoustic,279.5,44100,149.61,117.45,117.45,117.45,E Major,0.7251,E Major,0.6343,E Major,0.7387,87,F# Minor,0,3
The Beatles - Blackbird.wav,acoustic,138.41,44100,82.67,93.96,93.96,93.96,G Minor,0.399,G Minor,0.3579,G Minor,0.3962,94,G Major,0,3
Tracy Chapman - Fast Car.wav,acoustic,266.26,44100,178.1,103.36,103.36,103.36,A Minor,0.4734,A Major,0.3703,A Minor,0.4777,102,A Major,0,2
Albert King - Born Under A Bad Sign.wav,blues,168.16,44100,126.21,92.29,92.29,92.29,C# Major,0.5091,G# Minor,0.6147,C# Major,0.5255,103,C# Minor,0,2
B.B. King - The Thrill Is Gone.wav,blues,329.07,44100,253.48,90.67,90.67,90.67,B Major,0.62,B Minor,0.7077,B Minor,0.625,91,B Minor,0,2
Robert Johnson - Cross Road Blues.wav,blues,157.97,44100,126.66,101.33,123.05,101.33,A# Minor,0.3822,B Minor,0.3493,B Minor,0.3774,101,B Major,10.24,2
Stevie Ray Vaughan Double Trouble - Pride and Joy.wav,blues,223.19,44100,172.84,126.05,126.05,126.05,D# Major,0.5541,D# Major,0.4976,D# Major,0.5536,126,D# Major,0,3
The Blues Brothers - Sweet Home Chicago.wav,blues,467.67,44100,367.61,126.05,126.05,126.05,E Major,0.8078,E Major,0.864,E Major,0.8051,126,E Major,0,3
Darius Rucker - Wagon Wheel.wav,country,346.42,44100,264.01,147.66,147.66,147.66,A Major,0.7379,A Major,0.7758,A Major,0.7242,148,A Major,0,3
Dolly Parton - Jolene.wav,country,163.14,44100,120.19,109.96,109.96,109.96,C# Major,0.5684,G# Minor,0.6848,C# Major,0.5576,112,C# Minor,0,2
John Denver - Take Me Home Country Roads.wav,country,195.56,44100,148.14,161.5,82.03,161.5,E Major,0.7465,E Major,0.6939,E Major,0.7362,83,A Major,37.46,3
Johnny Cash - Ring of Fire.wav,country,155.74,44100,124.91,105.47,105.47,105.47,D Major,0.7794,G Major,0.621,D Major,0.7892,103,G Major,0,2
Kenny Rogers - The Gambler.wav,country,210.74,44100,134.38,172.27,87.59,172.27,B Major,0.3757,E Major,0.3591,B Major,0.3668,88,E Major,39.92,2
ABBA - Dancing Queen.wav,disco,232.9,44100,123.79,101.33,101.33,101.33,A Major,0.8718,A Major,0.8995,A Major,0.8687,100,A Major,0,3
Bee Gees - Stayin Alive.wav,disco,249.57,44100,134.31,103.36,103.36,103.36,F Major,0.6626,F Major,0.7189,F Major,0.6796,104,F Minor,0,3
CHIC - Le Freak.wav,disco,219.01,44100,119.63,120.19,120.19,120.19,A Minor,0.5749,A Minor,0.5416,A Minor,0.5024,120,A Minor,0,3
Earth Wind Fire - September.wav,disco,215.18,44100,710.75,126.05,126.05,126.05,A Major,0.761,A Major,0.8,A Major,0.7706,125,A Major,0,3
Gloria Gaynor - I Will Survive.wav,disco,194.42,44100,104.35,114.84,114.84,114.84,E Major,0.5484,A Minor,0.7113,E Major,0.5716,116,A Minor,0,2
Daft Punk - One More Time.wav,electronic,321.46,44100,170.61,123.05,123.05,123.05,D Major,0.8036,D Major,0.8382,D Major,0.7692,122,D Major,0,3
David Guetta - Titanium ft. Sia.wav,electronic,245.3,44100,145.06,126.05,126.05,126.05,G Minor,0.6914,C Minor,0.7545,G Minor,0.719,126,C Minor,0,2
Martin Garrix - Animals.wav,electronic,191.61,44100,150.7,129.2,129.2,129.2,F Minor,0.6162,F Minor,0.7142,F Minor,0.5964,128,F Minor,0,3
deadmau5 - Strobe.wav,electronic,636.92,44100,500.8,129.2,129.2,129.2,B Major,0.6159,B Major,0.6407,B Major,0.5972,128,G# Minor,0,3
deadmau5 feat. Rob Swire - Ghosts N Stuff.wav,electronic,194.42,44100,158.07,129.2,129.2,129.2,A# Minor,0.6694,A# Minor,0.8051,A# Minor,0.6661,128,A# Minor,0,3
Bob Dylan - Blowin in the Wind.wav,folk,170.23,44100,137.1,172.27,123.05,172.27,A Major,0.6332,D Major,0.5564,A Major,0.6251,87,D Major,23.2,2
Disturbed - The Sound Of Silence.wav,folk,262.41,44100,207.36,114.84,129.2,114.84,F# Minor,0.5826,F# Minor,0.7153,F# Minor,0.5836,85,F# Minor,6.77,3
Leaving On A Jet Plane - John Denver.wav,folk,241.84,44100,134.93,120.19,123.05,120.19,G Major,0.5487,G Major,0.6387,G Major,0.5451,121,G Major,1.35,3
Simon Garfunkel - Scarborough FairCanticle.wav,folk,191.66,44100,101.93,129.2,126.05,129.2,E Minor,0.3474,E Minor,0.4064,E Minor,0.3406,129,E Minor,1.49,3
The Animals - House Of The Rising Sun.wav,folk,260.16,44100,140.75,123.05,123.05,126.05,A Minor,0.715,A Minor,0.674,A Minor,0.7224,116,A Minor,1.41,3
Average White Band - Pick up the Pieces.wav,funk,234.6,44100,141.41,109.96,109.96,109.96,D# Major,0.6998,C Minor,0.787,D# Major,0.6873,108,F Minor,0,2
James Brown - Get Up Offa That Thing.wav,funk,250.22,44100,192.88,117.45,117.45,117.45,E Minor,0.321,F# Minor,0.5708,E Minor,0.303,118,E Minor,0,2
Parliament - Give Up The Funk Tear The Roof Off The Sucker.wav,funk,348.21,44100,269.6,105.47,105.47,105.47,B Minor,0.4578,B Minor,0.6794,B Minor,0.5107,105,E Minor,0,3
Rick James - Super Freak.wav,funk,202.99,44100,133.2,132.51,132.51,132.51,A Minor,0.6722,A Minor,0.7983,A Minor,0.6794,132,A Minor,0,3
Wild Cherry - Play That Funky.wav,funk,302.39,44100,162.15,109.96,109.96,109.96,D Minor,0.4229,B Minor,0.4005,E Major,0.4476,109,E Minor,0,1
Eminem - Lose Yourself.wav,hiphop,327.56,44100,179.16,172.27,172.27,172.27,D Minor,0.5403,D Minor,0.6544,D Minor,0.5124,171,D Minor,0,3
Kendrick Lamar - HUMBLE.wav,hiphop,183.67,44100,108.87,152,152,152,E Minor,0.2794,A# Minor,0.464,E Minor,0.2184,152,C# Minor,0,2
Nas - N.Y. State of Mind.wav,hiphop,295.59,44100,240.14,126.05,84.72,166.71,A# Minor,0.2061,A# Minor,0.4486,G# Major,0.2217,84,C# Minor,33.47,2
The Notorious B.I.G. - Juicy.wav,hiphop,252.56,44100,161.93,97.51,97.51,97.51,C# Minor,0.6177,E Major,0.8562,C# Minor,0.5685,96,E Major,0,2
Wu-Tang Clan - C.R.E.A.M..wav,hiphop,242.25,44100,130.86,90.67,90.67,90.67,F# Minor,0.5825,F# Minor,0.9246,F# Minor,0.5806,92,F# Minor,0,3
Avicii - Levels.wav,house,198.41,44100,107.3,126.05,126.05,126.05,C# Minor,0.7718,C# Minor,0.746,C# Minor,0.7604,126,C# Minor,0,3
Eric Prydz - Call On Me.wav,house,174.01,44100,93.9,126.05,126.05,126.05,A# Major,0.8199,A# Major,0.8223,A# Major,0.7759,126,D# Major,0,3
Eric Prydz - Pjanoo.wav,house,198.34,44100,106.44,126.05,126.05,126.05,D Minor,0.7967,D Minor,0.819,D Minor,0.7912,126,G Minor,0,3
Robin S - Show Me Love.wav,house,239.77,44100,131.43,120.19,120.19,120.19,F Major,0.6449,F Major,0.4747,F Major,0.6369,120,F Major,0,3
Swedish House Mafia ft. John Martin - Dont You Worry Child.wav,house,215.06,44100,127.62,129.2,129.2,129.2,D Major,0.6726,D Major,0.7157,D Major,0.6354,129,B Minor,0,3
Cannonball Adderley - Autumn Leaves.wav,jazz,659.54,44100,494.49,112.35,112.35,112.35,D Minor,0.6561,D Minor,0.6331,D Minor,0.661,112,G Minor,0,3
Dave Brubeck - Take Five.wav,jazz,329.56,44100,254.01,123.05,126.05,126.05,D# Major,0.5228,D# Major,0.4613,G# Major,0.4417,172,D# Minor,1.41,2
Miles Davis - All Blues.wav,jazz,693.86,44100,552.91,139.67,139.67,139.67,D Minor,0.4875,D Minor,0.5639,D Minor,0.4766,139,G Major,0,3
Miles Davis - Blue In Green.wav,jazz,338.71,44100,266.04,120.19,123.05,120.19,A Minor,0.3321,C Major,0.2758,A Minor,0.3247,120,D Minor,1.35,2
Miles Davis - So What.wav,jazz,563.62,44100,446.6,136,136,136,D Minor,0.303,A Minor,0.3275,D Minor,0.2926,136,D Minor,0,2
BLACKPINK - DDU-DU DDU-DU.wav,kpop,215.32,44100,156.01,139.67,139.67,139.67,E Minor,0.8033,E Minor,0.7422,E Minor,0.8366,140,E Minor,0,3
BTS - Butter.wav,kpop,164.51,44100,108.6,109.96,109.96,109.96,G# Major,0.7512,G# Major,0.8298,G# Major,0.7432,110,G# Major,0,3
BTS - Dynamite.wav,kpop,223.42,44100,121.51,114.84,114.84,114.84,E Major,0.6686,E Major,0.622,E Major,0.6844,114,E Major,0,3
PSY - Gangnam Style.wav,kpop,219.52,44100,119.56,132.51,132.51,132.51,B Minor,0.6484,B Major,0.6789,B Minor,0.6149,132,B Minor,0,2
iKON - LOVE SCENARIO.wav,kpop,211.77,44100,131.71,117.45,117.45,117.45,D Major,0.8665,B Minor,0.7924,D Major,0.882,118,E Minor,0,2
Don Omar - Danza Kuduro.wav,latin,198.81,44100,105.18,129.2,103.36,129.2,C Major,0.7933,E Minor,0.8207,C Major,0.757,130,C Major,12.18,2
Enrique Iglesias - Bailando ft. Descemer Bueno Gente De Zona.wav,latin,286.84,44100,153.26,120.19,90.67,120.19,B Minor,0.5282,E Minor,0.7797,B Minor,0.4883,91,E Minor,13.92,2
Juanes - La Camisa Negra.wav,latin,217.06,44100,117.1,97.51,97.51,97.51,F# Minor,0.5826,F# Minor,0.3773,F# Minor,0.5635,96,F# Minor,0,3
Luis Fonsi - Despacito ft. Daddy Yankee.wav,latin,281.57,44100,184.17,120.19,89.1,120.19,D Major,0.645,D Major,0.7731,D Major,0.6434,89,B Minor,14.65,3
